epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1621,1.71448,4.46614,1.3681,0.00333,1,0.18885,0.13702,1.02014,3.79259,1.01917,6e-05,6e-05,6e-05
2,40.2311,1.52374,4.45864,1.24221,0.00333,1,0.43523,0.31158,1.07965,3.70121,1.03951,0.000138614,0.000138614,0.000138614
3,54.1347,1.35794,3.29073,1.13962,0.00333,1,0.54365,0.36433,1.02594,3.69877,1.01181,0.000215644,0.000215644,0.000215644
4,66.7032,1.34295,2.96706,1.11943,0.00333,1,0.69908,0.34226,1.05208,3.72712,1.04344,0.00029109,0.00029109,0.00029109
5,78.8478,1.28594,2.52143,1.08979,0.00333,1,0.55399,0.39894,1.06258,3.71564,1.05403,0.000364952,0.000364952,0.000364952
6,90.8404,0.98613,2.45907,0.96911,0.00333,1,0.49187,0.35812,1.12041,3.64593,1.04213,0.00043723,0.00043723,0.00043723
7,102.69,1.19582,2.4748,1.04247,0.00333,1,0.47445,0.29623,1.06588,3.71098,1.08895,0.000507924,0.000507924,0.000507924
8,114.761,1.11861,2.06632,1.0338,0.00333,1,0.2233,0.13309,1.07054,3.80748,1.10551,0.000577034,0.000577034,0.000577034
9,127.189,1.18464,2.14874,1.05354,0.00279,0.53333,0.30546,0.17495,1.18709,3.85584,1.1666,0.00064456,0.00064456,0.00064456
10,141.347,1.05583,1.87253,1.01074,1,0.17694,0.36316,0.23761,1.3012,3.89302,1.23904,0.000710502,0.000710502,0.000710502
11,155.95,1.04315,1.88079,1.05204,0.00222,0.66667,0.23478,0.16666,1.41628,4.14259,1.38876,0.00077486,0.00077486,0.00077486
12,168.334,1.09019,1.85947,1.11115,0.00333,1,0.37445,0.20297,1.41717,4.04709,1.4018,0.000837634,0.000837634,0.000837634
13,180.777,1.05429,1.80091,1.08801,0.2428,0.4,0.37359,0.19254,1.44274,3.85525,1.39184,0.000898824,0.000898824,0.000898824
14,193.502,1.08092,1.96892,1.09072,0.86078,0.4,0.53258,0.32347,1.37276,3.63562,1.23252,0.00095843,0.00095843,0.00095843
15,206.26,1.20858,2.01121,1.12307,0.77572,0.33333,0.49338,0.27218,1.1833,3.56516,1.20328,0.00101645,0.00101645,0.00101645
16,219.117,1.18789,1.97872,1.03194,0.67583,0.4,0.55798,0.33796,1.12335,3.4907,1.12356,0.00107289,0.00107289,0.00107289
17,231.516,1.17807,1.82374,1.05757,0.71486,0.33441,0.59414,0.39519,1.15041,3.26916,1.09847,0.00112774,0.00112774,0.00112774
